ID,CN_Key,CN_Code,Name
6473,401600000080,4016,Other articles of vulcanised rubber other tha
6491,410100000080,4101,Raw hides and skins of bovine (including buff
6503,410200000080,4102,"Raw skins of sheep or lambs (fresh, or salted"
6510,410300000080,4103,"Other raw hides and skins (fresh, or salted,"
6514,410400000080,4104,Tanned or crust hides and skins of bovine (in
6549,410500000080,4105,"Tanned or crust skins of sheep or lambs, with"
6554,410600000080,4106,Tanned or crust hides and skins of other anim
6569,410700000080,4107,Leather further prepared after tanning or cru
6597,411300000080,4113,Leather further prepared after tanning or cru
6602,411400000080,4114,Chamois (including combination chamois) leath
6607,411500000080,4115,Composition leather with a basis of leather o
6612,420200000080,4202,"Trunks, suitcases, vanity cases, executive-ca"
6653,420300000080,4203,"Articles of apparel and clothing accessories,"
6669,430100000080,4301,"Raw furskins (including heads, tails, paws an"
6675,430200000080,4302,"Tanned or dressed furskins (including heads,"
6697,430300000080,4303,"Articles of apparel, clothing accessories and"
6705,440100000080,4401,"Fuel wood, in logs, in billets, in twigs, in"
6718,440200000080,4402,Wood charcoal (including shell or nut charcoa
6721,440300000080,4403,"Wood in the rough, whether or not stripped of"
6755,440400000080,4404,"Hoopwood; split poles; piles, pickets and sta"
6759,440600000080,4406,Railway or tramway sleepers (cross-ties) of w
6766,440700000080,4407,"Wood sawn or chipped lengthwise, sliced or pe"
6866,440800000080,4408,Sheets for veneering (including those obtaine
6899,440900000080,4409,Wood (including strips and friezes for parque
6911,441000000080,4410,"Particle board, oriented strand board (OSB) a"
6923,441100000080,4411,Fibreboard of wood or other ligneous material
6944,441200000080,4412,"Plywood, veneered panels and similar laminate"
6968,441500000080,4415,"Packing cases, boxes, crates, drums and simil"
6977,441800000080,4418,"Builders' joinery and carpentry of wood, incl"
7001,441900000080,4419,"Tableware and kitchenware, of wood"
7009,442000000080,4420,Wood marquetry and inlaid wood; caskets and c
7018,442100000080,4421,Other articles of wood
7028,450100000080,4501,"Natural cork, raw or simply prepared; waste c"
7032,450300000080,4503,Articles of natural cork
7037,450400000080,4504,Agglomerated cork (with or without a binding
7049,460100000080,4601,Plaits and similar products of plaiting mater
7081,460200000080,4602,"Basketwork, wickerwork and other articles, ma"
7095,470300000080,4703,"Chemical wood pulp, soda or sulphate, other t"
7102,470400000080,4704,"Chemical wood pulp, sulphite, other than diss"
7110,470600000080,4706,Pulps of fibres derived from recovered (waste
7118,470700000080,4707,Recovered (waste and scrap) paper or paperboa
7129,480200000080,4802,"Uncoated paper and paperboard, of a kind used"
7161,480400000080,4804,"Uncoated kraft paper and paperboard, in rolls"
7206,480500000080,4805,"Other uncoated paper and paperboard, in rolls"
7225,480600000080,4806,"Vegetable parchment, greaseproof papers, trac"
7235,480800000080,4808,"Paper and paperboard, corrugated (with or wit"
7239,480900000080,4809,"Carbon paper, self-copy paper and other copyi"
7242,481000000080,4810,"Paper and paperboard, coated on one or both s"
7266,481100000080,4811,"Paper, paperboard, cellulose wadding and webs"
